method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
CVAR,6,0.1,0.15,50,20000,OK,2206924.95360412,124.89288234710693,126.97145986557007,0.9326,6.074131011962891,32.543617248535156,16.160343170166016,490.8121032714844,7,case118,38,2026-06-20 08:05:57
CVAR,6,0.1,0.15,50,30000,OK,2055272.3945349143,123.85708403587341,125.76646637916565,0.9672,6.074085235595703,32.543617248535156,16.160343170166016,490.81459045410156,7,case118,38,2026-06-20 08:08:03
CVAR,6,0.1,0.15,50,40000,OK,2049530.6097383904,121.89054775238037,123.76322913169861,0.9956,6.074100494384766,32.543617248535156,16.160343170166016,490.81402587890625,7,case118,38,2026-06-20 08:10:08
CVAR,6,0.1,0.15,80,10000,OK,2152863.705651776,158.49430775642395,160.33795356750488,0.9736,5.417301177978516,32.543617248535156,17.829635620117188,491.48401260375977,8,case118,38,2026-06-20 08:12:48
CVAR,6,0.1,0.15,80,20000,OK,2206928.6641782173,162.74962663650513,164.5954966545105,0.969,5.366382598876953,32.543617248535156,17.829635620117188,491.5618133544922,8,case118,38,2026-06-20 08:15:33
CVAR,6,0.1,0.15,80,30000,OK,2055272.395138091,157.40448141098022,159.21581411361694,0.9832,5.5173187255859375,32.543617248535156,17.89812469482422,491.4281425476074,8,case118,38,2026-06-20 08:18:13
CVAR,6,0.1,0.15,80,40000,OK,2049530.61010152,156.48109912872314,158.32443714141846,0.999,5.366512298583984,32.543617248535156,17.824573516845703,491.5580711364746,8,case118,38,2026-06-20 08:20:52
CVAR,6,0.1,0.15,100,10000,OK,2152863.7056311257,197.15721368789673,198.97789907455444,0.9742,6.314128875732422,32.543617248535156,19.88936996459961,490.5807647705078,9,case118,38,2026-06-20 08:24:11
CVAR,6,0.1,0.15,100,20000,OK,2206929.7240603166,196.48540329933167,198.32061886787415,0.9676,6.17584228515625,32.543617248535156,19.90489959716797,490.75943756103516,9,case118,38,2026-06-20 08:27:30
CVAR,6,0.1,0.15,100,30000,OK,2055272.3947584475,189.39354634284973,191.23189091682434,0.9868,6.175498962402344,32.543617248535156,19.90489959716797,490.72961807250977,9,case118,38,2026-06-20 08:30:42
CVAR,6,0.1,0.15,100,40000,OK,2049530.6098443319,186.13419651985168,187.96168971061707,0.9994,6.173664093017578,32.543617248535156,19.90489959716797,490.7229309082031,9,case118,38,2026-06-20 08:33:50
CVAR,6,0.1,0.15,150,10000,OK,2152863.7910031904,295.92965364456177,297.75948667526245,0.9744,15.692371368408203,32.543617248535156,27.301265716552734,481.21434783935547,12,case118,38,2026-06-20 08:38:48
CVAR,6,0.1,0.15,150,20000,OK,2206931.1817344083,308.6114749908447,310.5875599384308,0.9802,15.077472686767578,32.543617248535156,25.463951110839844,481.8060607910156,13,case118,38,2026-06-20 08:44:00
CVAR,6,0.1,0.15,150,30000,OK,2055272.3945409036,285.29937267303467,287.13175439834595,0.9856,15.684101104736328,32.543617248535156,27.292869567871094,481.1893081665039,12,case118,38,2026-06-20 08:48:48
CVAR,6,0.1,0.15,150,40000,OK,2049530.6100624106,282.1282298564911,283.9446430206299,0.9998,15.692428588867188,32.543617248535156,27.301265716552734,481.2038230895996,12,case118,38,2026-06-20 08:53:32
CVAR,6,0.1,0.15,200,10000,OK,2152863.7894976125,400.2986595630646,402.26185131073,0.9742,18.499988555908203,32.543617248535156,28.265838623046875,478.3822212219238,16,case118,38,2026-06-20 09:00:16
CVAR,6,0.1,0.15,200,20000,OK,2206931.1809671535,420.73062086105347,422.56196546554565,0.9802,18.479778289794922,32.543617248535156,28.276615142822266,478.42538833618164,17,case118,38,2026-06-20 09:07:19
CVAR,6,0.1,0.15,200,30000,OK,2055272.3945606793,424.4511535167694,426.2923674583435,0.9858,18.469497680664062,32.543617248535156,28.265594482421875,478.4125099182129,17,case118,38,2026-06-20 09:14:26
CVAR,6,0.1,0.15,200,40000,OK,2049530.6097311687,411.14502453804016,412.9769911766052,0.9998,18.469772338867188,32.543617248535156,28.265838623046875,478.3746643066406,16,case118,38,2026-06-20 09:21:20
CVAR,6,0.1,0.15,250,10000,OK,2152866.8366047707,554.8687331676483,556.6963782310486,0.9796,23.4447021484375,32.543617248535156,34.91608810424805,473.38668060302734,21,case118,38,2026-06-20 09:30:38
CVAR,6,0.1,0.15,250,20000,OK,2206931.373418374,537.8648781776428,539.7946877479553,0.9806,24.20555877685547,32.543617248535156,34.90292739868164,472.64908599853516,20,case118,38,2026-06-20 09:39:39
CVAR,6,0.1,0.15,250,30000,OK,2055272.3952103974,534.7008187770844,536.5126931667328,0.9848,24.270694732666016,32.543617248535156,34.90292739868164,472.6162757873535,20,case118,38,2026-06-20 09:48:37
CVAR,6,0.1,0.15,250,40000,OK,2049530.6097774077,552.893301486969,554.8344655036926,0.9996,23.795547485351562,32.543617248535156,34.900455474853516,473.08857345581055,21,case118,38,2026-06-20 09:57:53
CVAR,6,0.1,0.15,300,10000,OK,2152866.962003815,736.2641623020172,738.0809473991394,0.9798,31.96914291381836,32.595375061035156,42.62669372558594,464.88080978393555,27,case118,38,2026-06-20 10:10:12
CVAR,6,0.1,0.15,300,20000,OK,2206933.5709481915,751.4027740955353,753.2188007831573,0.9854,31.385517120361328,32.595375061035156,42.617042541503906,465.4491653442383,28,case118,38,2026-06-20 10:22:47
CVAR,6,0.1,0.15,300,30000,OK,2055272.3945941878,697.3105084896088,699.1668903827667,0.986,29.897876739501953,32.595375061035156,42.60390090942383,466.9212303161621,26,case118,38,2026-06-20 10:34:27
CVAR,6,0.1,0.15,300,40000,OK,2049530.6101703483,704.9225218296051,706.7714006900787,0.9996,30.841476440429688,32.595375061035156,42.586639404296875,466.0038414001465,26,case118,38,2026-06-20 10:46:15
