method,epsilon,theta,n_wdr,seed,num_WT,num_Solar,obj,solve_time,total_duration,satisfied_rate
FICA,0.1,0.15,150,0,10,5,717650.1892309105,1287.5876369476318,1288.3899762630463,0.867
EIFICA,0.1,0.15,150,10000,10,5,623722.3290781175,844.0396227836609,844.8550724983215,0.8284
EIFICA,0.1,0.15,150,20000,10,5,637984.3430750462,434.7922477722168,435.59357714653015,0.8896
FICA,0.1,0.15,150,20000,10,5,637991.8620666729,865.7039752006531,866.5058364868164,0.8994
FICA,0.1,0.15,150,30000,10,5,593622.9524313558,1054.0597426891327,1054.851383447647,0.8682
EIFICA,0.1,0.15,150,30000,10,5,593610.8263590074,687.7445647716522,688.5418200492859,0.85
EIFICA,0.1,0.15,150,40000,10,5,589349.8189106114,577.5762372016907,578.3709666728973,0.879
FICA,0.1,0.15,150,40000,10,5,589352.4643078564,1211.967663526535,1212.760505914688,0.8884000000000001
EIFICA,0.1,0.15,200,0,10,5,717717.5400359377,548.5577936172485,549.3633692264557,0.9078
FICA,0.1,0.15,200,0,10,5,717721.9093810354,1724.9885759353638,1725.781468629837,0.91
EIFICA,0.1,0.15,200,10000,10,5,623949.2294679973,702.4799818992615,703.2748544216156,0.8742
EIFICA,0.1,0.15,200,20000,10,5,638025.0037405147,463.15638160705566,463.9522798061371,0.9162
FICA,0.1,0.15,200,10000,10,5,623952.2388134393,2205.5694613456726,2206.380295753479,0.8798
FICA,0.1,0.15,200,20000,10,5,638029.0474908609,3183.4967324733734,3184.2984590530396,0.9172
FICA,0.1,0.15,200,30000,10,5,593783.6460365271,2690.4670617580414,2691.2616515159607,0.9124
EIFICA,0.1,0.15,200,30000,10,5,593770.1460546653,2426.279303073883,2427.2081792354584,0.8968
EIFICA,0.1,0.15,200,40000,10,5,589388.1456063995,694.89506316185,695.6939361095428,0.898
FICA,0.1,0.15,200,40000,10,5,589391.5941636339,1761.2039897441864,1762.0067603588104,0.907
EIFICA,0.1,0.15,250,0,10,5,717735.7135649415,2350.8561356067657,2351.6555802822113,0.9148
FICA,0.1,0.15,250,0,10,5,717739.8070626183,2970.6149916648865,2971.4088985919952,0.9186
FICA,0.1,0.15,250,10000,10,5,624001.8678564674,2531.9304320812225,2532.7262868881226,0.9153999999999999
EIFICA,0.1,0.15,250,10000,10,5,624000.1747640497,1507.6827325820923,1508.497763633728,0.9114
FICA,0.1,0.15,250,20000,10,5,638056.9957937906,2954.713319540024,2955.6544919013977,0.9306
EIFICA,0.1,0.15,250,30000,10,5,593789.8319390331,794.2137835025787,794.9995677471161,0.9108000000000002
EIFICA,0.1,0.15,250,20000,10,5,638054.5131094719,5474.814043521881,5475.609391450882,0.9275999999999999
FICA,0.1,0.15,250,30000,10,5,593803.2548171281,6771.324233293533,6772.138305425644,0.9272
EIFICA,0.1,0.15,250,40000,10,5,589474.969517536,2268.265474796295,2269.049065351486,0.9164
FICA,0.1,0.15,250,40000,10,5,589480.9062021701,7872.577701330185,7873.489353179932,0.9275999999999999
FICA,0.1,0.15,300,0,10,5,717783.4819321006,6677.346702814102,6678.175612926483,0.9362
EIFICA,0.1,0.15,300,0,10,5,717778.9305829776,6254.696357965469,6255.490411520004,0.934
EIFICA,0.1,0.15,300,10000,10,5,624090.0544290803,2011.122525215149,2011.9414806365967,0.9262
FICA,0.1,0.15,300,10000,10,5,624091.4498717822,5340.729242801666,5341.58612370491,0.9275999999999999
