method,sf,epsilon,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate
EIFICA,1.5,0.03,60,900,57904.42860857779,4.256728649139404,6.0392374992370605,0.8686
ExactLHS,1.5,0.03,60,500,64312.944943562856,55.04711055755615,56.19767475128174,0.9856
ExactLHS,1.5,0.03,60,600,58063.92703709508,47.18139600753784,49.12598538398743,0.9504
EIFICA,1.5,0.03,90,0,72166.0723550345,8.458156824111938,9.634009838104248,0.9538
ExactLHS,1.5,0.03,60,700,71077.64624779657,50.253122091293335,51.64923357963562,0.9872
EIFICA,1.5,0.03,90,100,57998.66100271996,8.913349628448486,10.127962112426758,0.9716
EIFICA,1.5,0.03,90,200,67394.29440374787,9.097551822662354,10.314184188842773,0.9742
ExactLHS,1.5,0.03,60,800,60529.4639177504,42.25565481185913,43.50686955451965,0.9782
EIFICA,1.5,0.03,90,300,62383.27174832745,7.500149965286255,8.696689367294312,0.8738
ExactLHS,1.5,0.03,60,900,57950.5441436263,34.12803339958191,35.39797592163086,0.9428
EIFICA,1.5,0.03,90,400,63760.40631053131,8.097890377044678,9.323428869247437,0.938
EIFICA,1.5,0.03,90,500,63385.78893399103,7.7968974113464355,9.166247606277466,0.482
ExactLHS,1.5,0.03,90,300,62890.76730357209,58.449134826660156,59.64571571350098,0.9968
EIFICA,1.5,0.03,90,600,58037.4285740242,8.423538446426392,10.139760494232178,0.8894
ExactLHS,1.5,0.03,60,300,62424.91071957311,178.8732476234436,180.06780219078064,0.986
ExactLHS,1.5,0.03,90,500,63907.416397470704,67.9037983417511,69.14355373382568,0.9882
ExactLHS,1.5,0.03,90,400,63844.87585120697,87.41881537437439,88.62152409553528,0.9782
EIFICA,1.5,0.03,90,700,71052.59707650206,7.217843532562256,8.40130877494812,0.991
EIFICA,1.5,0.03,90,800,60478.89591542519,8.041752576828003,9.197164058685303,0.808
EIFICA,1.5,0.03,90,900,57905.44276688919,8.643545389175415,9.764336109161377,0.9406
ExactLHS,1.5,0.03,90,200,67468.28546225298,128.85056066513062,130.16689109802246,0.9894
EIFICA,1.5,0.03,120,0,72166.30023644227,13.593034744262695,15.33946180343628,0.9678
ExactLHS,1.5,0.03,90,0,72221.51342707925,167.2198781967163,168.3916618824005,0.9806
ExactLHS,1.5,0.03,90,600,58128.0062353592,83.65982270240784,84.84221816062927,0.9884
EIFICA,1.5,0.03,120,100,58000.02392620835,13.415714263916016,15.186464786529541,0.98
ExactLHS,1.5,0.03,90,700,71115.03156445692,76.06482172012329,77.85085964202881,0.9932
EIFICA,1.5,0.03,120,200,67394.29439466487,13.011528015136719,14.187960863113403,0.9742
ExactLHS,1.5,0.03,90,800,60603.724913926366,84.67805314064026,85.82412481307983,0.9822
EIFICA,1.5,0.03,120,300,62385.608521582966,11.171502113342285,12.560247659683228,0.9468
ExactLHS,1.5,0.03,90,900,58407.850299107486,73.43382048606873,74.75651431083679,0.9838
EIFICA,1.5,0.03,120,400,63768.12007043388,13.614128112792969,14.77614974975586,0.9434
EIFICA,1.5,0.03,120,500,63424.681244110885,11.702362537384033,12.868663787841797,0.9612
ExactLHS,1.5,0.03,120,0,72550.74768148585,85.02401471138,86.2280433177948,0.9904
EIFICA,1.5,0.03,120,600,58037.42857929298,14.965448379516602,16.700859546661377,0.8894
ExactLHS,1.5,0.03,120,400,63906.035879625604,58.98820090293884,60.282049894332886,0.9886
EIFICA,1.5,0.03,120,700,71054.60176257788,12.428150415420532,13.582908153533936,0.9902
ExactLHS,1.5,0.03,120,300,62773.21930971149,102.49342632293701,103.70925092697144,0.9978
EIFICA,1.5,0.03,120,800,60479.03963717357,14.324951171875,15.66045093536377,0.8152
ExactLHS,1.5,0.03,120,200,67521.01778229112,167.0124146938324,168.18632793426514,0.9938
ExactLHS,1.5,0.03,120,600,58170.38005588579,102.8090546131134,104.01441717147827,0.9928
ExactLHS,1.5,0.03,120,500,63837.35995092255,132.04336071014404,133.29486775398254,0.9978
EIFICA,1.5,0.06,30,0,71802.37914442239,2.7703073024749756,4.570716619491577,0.9444
ExactLHS,1.5,0.03,120,800,60659.1533806347,52.677791595458984,53.99419331550598,0.993
EIFICA,1.5,0.03,120,900,57907.07966231987,13.697336196899414,14.879095077514648,0.9386
ExactLHS,1.5,0.03,120,700,71181.20341900409,93.85723614692688,95.15553450584412,0.998
EIFICA,1.5,0.06,30,100,57488.205571681305,2.7418203353881836,4.194197654724121,0.6052
EIFICA,1.5,0.06,30,200,66845.64155543543,2.6488447189331055,3.8960530757904053,0.7796
ExactLHS,1.5,0.06,30,0,72251.77687526999,7.686254024505615,8.88796329498291,0.9492
EIFICA,1.5,0.06,30,300,62040.41542672974,2.656613349914551,3.7573843002319336,0.9082
EIFICA,1.5,0.06,30,400,63234.726715462806,2.690734624862671,3.9021997451782227,0.7216
ExactLHS,1.5,0.06,30,200,67464.4583133147,9.538691997528076,10.688157081604004,0.8334
ExactLHS,1.5,0.06,30,300,62457.029560893294,6.924717664718628,8.12671422958374,0.8968
EIFICA,1.5,0.06,30,500,63028.52572831114,2.818290948867798,4.183655738830566,0.8258
ExactLHS,1.5,0.06,30,100,57491.3371527107,17.244232177734375,18.47818160057068,0.9402
EIFICA,1.5,0.06,30,600,57531.123086744046,2.7939558029174805,3.930593729019165,0.706
ExactLHS,1.5,0.06,30,400,63874.054371632614,8.266498804092407,9.36930251121521,0.8642
ExactLHS,1.5,0.06,30,500,63452.39354632453,6.728036165237427,7.910936117172241,0.9138
EIFICA,1.5,0.06,30,700,70647.5195789713,2.9335720539093018,4.060292959213257,0.9468
EIFICA,1.5,0.06,30,800,59972.00981750347,2.9720091819763184,4.123615264892578,0.827
ExactLHS,1.5,0.06,30,700,71142.61755811398,6.78292441368103,7.889671087265015,0.9726
EIFICA,1.5,0.06,30,900,57560.50091596909,2.8311398029327393,3.990408182144165,0.7558
ExactLHS,1.5,0.06,30,800,60532.62958608396,8.593993663787842,9.733548164367676,0.7934
ExactLHS,1.5,0.06,30,600,58139.18892341788,13.974492311477661,15.747074604034424,0.8726
ExactLHS,1.5,0.06,30,900,57970.59626501519,6.545428037643433,7.662041425704956,0.8982
ExactLHS,1.0,0.03,120,400,42868.39063540032,1203.636943101883,1205.6107535362244,0.9958
EIFICA,1.5,0.06,60,0,71802.38003241905,6.180994987487793,7.3228044509887695,0.9448
EIFICA,1.5,0.06,60,100,57491.81834537999,6.193796157836914,7.37170672416687,0.9578
EIFICA,1.5,0.06,60,200,66872.86282623216,5.924928665161133,7.0908362865448,0.9656
EIFICA,1.5,0.06,60,300,62045.94533912052,6.969990015029907,8.136807680130005,0.9596
ExactLHS,1.5,0.06,60,100,57729.586870461564,20.35448694229126,21.613524675369263,0.9698
EIFICA,1.5,0.06,60,400,63239.61124294582,6.575226068496704,7.7758872509002686,0.7864
ExactLHS,1.5,0.06,60,0,72288.3546965457,30.21611762046814,31.40613865852356,0.9752
EIFICA,1.5,0.06,60,500,63034.7495540731,6.460254669189453,7.620021343231201,0.888
EIFICA,1.5,0.06,60,600,57544.15645386637,6.597336530685425,7.77243971824646,0.9088
ExactLHS,1.5,0.06,60,300,62204.484156350954,35.643993854522705,36.82248139381409,0.9804
ExactLHS,1.5,0.06,60,400,63483.45009226731,22.663904666900635,23.814261198043823,0.9216
ExactLHS,1.5,0.03,120,900,58307.0928305385,96.1056342124939,97.41972923278809,0.9956
EIFICA,1.5,0.06,60,700,70652.00497928043,6.928738832473755,8.103790998458862,0.9822
ExactLHS,1.5,0.06,60,500,63058.38560079804,24.085301399230957,25.2980740070343,0.9364
EIFICA,1.5,0.06,60,800,59994.311253253785,6.269514083862305,8.030946493148804,0.9098
ExactLHS,1.5,0.06,60,600,57565.544243817385,22.269874572753906,23.581000328063965,0.9254
EIFICA,1.5,0.06,60,900,57570.59101382118,6.301689386367798,7.479395151138306,0.9
ExactLHS,1.5,0.06,60,200,66912.60966452556,71.64812517166138,72.78854489326477,0.9764
ExactLHS,1.5,0.06,60,700,70830.95641590244,26.6160671710968,28.422584772109985,0.9828
EIFICA,1.5,0.06,90,0,71802.37998740707,14.743682861328125,15.879381895065308,0.9448
ExactLHS,1.5,0.06,60,900,57596.71493468808,23.665457487106323,24.851513147354126,0.9158
EIFICA,1.5,0.06,90,200,66873.70045382285,13.815360307693481,14.962143898010254,0.9662
ExactLHS,1.5,0.06,60,800,60243.3042182445,38.16973161697388,39.283950090408325,0.9672
EIFICA,1.5,0.06,90,100,57496.35282516023,14.358847618103027,16.28506875038147,0.9524
EIFICA,1.5,0.06,90,300,62045.94534551726,15.071691274642944,16.237853050231934,0.9596
EIFICA,1.5,0.06,90,400,63251.58692268238,14.16727900505066,15.358238220214844,0.933
ExactLHS,1.5,0.06,90,100,57560.23507261046,35.33658695220947,36.508283853530884,0.9534
EIFICA,1.5,0.06,90,500,63039.28281577692,12.522361278533936,13.692707777023315,0.9002
EIFICA,1.5,0.06,90,600,57550.96945115287,13.962491989135742,15.167274713516235,0.943
ExactLHS,1.5,0.06,90,300,62169.08479398267,54.98253107070923,56.107802867889404,0.9828
EIFICA,1.5,0.06,90,700,70653.51752608974,14.171211242675781,15.287189722061157,0.9834
ExactLHS,1.5,0.06,90,500,63173.95733091303,65.49222683906555,66.66508436203003,0.938
ExactLHS,1.5,0.06,90,0,71916.10024944495,125.56480479240417,126.71253848075867,0.9588
