method,sf,epsilon,theta,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate,status
ExactLHS,1.0,0.06,0.06,80,0,66444.30468668905,217.34948897361755,218.56828045845032,0.6958,2
EIFICA,1.0,0.06,0.06,80,100,53163.63851939125,5.528012752532959,7.220304012298584,0.9562,2
ExactLHS,1.0,0.03,0.06,200,800,56147.917271466904,2486.0746517181396,2487.233456134796,0.7406,2
EIFICA,1.0,0.06,0.06,80,200,61238.034296136415,5.317172527313232,6.994065284729004,0.998,2
ExactLHS,1.0,0.06,0.06,80,100,53431.99071730349,135.9096987247467,137.1234269142151,0.8252,2
EIFICA,1.0,0.06,0.06,80,300,57171.52685839393,5.403867721557617,7.140092849731445,0.9594,2
ExactLHS,1.0,0.06,0.06,80,300,57350.45440729203,122.1052143573761,123.29050779342651,0.7372,2
ExactLHS,1.0,0.06,0.06,80,200,61448.84580504779,168.89553022384644,170.03918886184692,0.7058,2
EIFICA,1.0,0.06,0.06,80,400,58125.34495965555,5.264436483383179,6.930161714553833,0.9952,2
EIFICA,1.0,0.06,0.06,80,500,58010.04976769455,5.17359471321106,6.307865858078003,0.9218,2
ExactLHS,1.0,0.06,0.06,80,500,58048.32939726009,193.58700609207153,194.89274835586548,0.6832,2
EIFICA,1.0,0.06,0.06,80,600,53082.43248734085,5.317505121231079,7.003674507141113,0.9268,2
ExactLHS,1.0,0.06,0.06,80,400,58333.02506828857,230.3514747619629,232.00400733947754,0.7174,2
EIFICA,1.0,0.06,0.06,80,700,64834.16023241806,5.1121666431427,6.232904672622681,0.9972,2
ExactLHS,1.0,0.06,0.06,80,600,53303.47442183596,190.2379128932953,191.38710713386536,0.6758,2
EIFICA,1.0,0.06,0.06,80,800,55331.22990096257,5.50148868560791,7.283170938491821,0.9748,2
ExactLHS,1.0,0.06,0.06,80,700,65000.641707145514,177.89567947387695,179.15584874153137,0.6858,2
EIFICA,1.0,0.06,0.06,80,900,53259.05518738013,5.1441216468811035,6.284658908843994,0.9478,2
ExactLHS,1.0,0.06,0.06,80,900,53417.05465880303,176.2076427936554,177.3541510105133,0.668,2
EIFICA,1.0,0.06,0.06,100,0,65998.8643667809,6.0553765296936035,7.204818248748779,0.9774,2
ExactLHS,1.0,0.06,0.06,80,800,55542.65370814932,204.53444075584412,205.68515849113464,0.7242,2
EIFICA,1.0,0.06,0.06,100,100,53167.60294505606,5.905254602432251,7.590919733047485,0.9692,2
ExactLHS,1.0,0.06,0.06,100,0,66004.6645074148,136.71084260940552,137.91954040527344,0.626,2
EIFICA,1.0,0.06,0.06,100,200,61238.03429921119,5.741304159164429,7.477771282196045,0.9978,2
ExactLHS,1.0,0.06,0.06,100,100,53230.918882706515,133.32262086868286,134.4934310913086,0.6744,2
EIFICA,1.0,0.06,0.06,100,300,57171.527216565475,5.7297117710113525,7.411241292953491,0.9594,2
ExactLHS,1.0,0.06,0.06,100,300,57204.309727619606,167.74141645431519,168.90663981437683,0.6856,2
EIFICA,1.0,0.06,0.06,100,400,58125.344957550704,5.662071466445923,7.352937936782837,0.9978,2
ExactLHS,1.0,0.06,0.06,100,400,58285.07394994614,71.86048865318298,73.01102685928345,0.7412,2
EIFICA,1.0,0.06,0.06,100,500,58020.55364480705,5.8185648918151855,7.526493549346924,0.9506,2
ExactLHS,1.0,0.06,0.06,100,200,61238.034297105136,394.23409938812256,395.3799617290497,0.6858,2
EIFICA,1.0,0.06,0.06,100,600,53100.22430676785,5.7293381690979,7.390546560287476,0.9502,2
ExactLHS,1.0,0.06,0.06,100,500,58367.53020279045,260.156126499176,261.33181500434875,0.7414,2
EIFICA,1.0,0.06,0.06,100,700,64834.16044988128,5.70416784286499,7.387539863586426,0.9978,2
ExactLHS,1.0,0.06,0.06,100,700,65471.50472670239,141.39429235458374,142.55214881896973,0.6876,2
EIFICA,1.0,0.06,0.06,100,800,55336.94723484586,5.872265577316284,7.704899787902832,0.9826,2
ExactLHS,1.0,0.06,0.06,100,600,53101.05367606885,470.97751021385193,472.12996315956116,0.7078,2
EIFICA,1.0,0.06,0.06,100,900,53259.24575336931,5.8613762855529785,7.554105281829834,0.9506,2
ExactLHS,1.0,0.03,0.06,200,300,57792.41000476104,7207.37552690506,7208.585437297821,0.7484,9
EIFICA,1.0,0.06,0.06,150,0,65998.95567477636,7.106730699539185,8.317506313323975,0.9794,13
ExactLHS,1.0,0.06,0.06,100,800,55505.629844090676,290.89092803001404,292.06238293647766,0.7366,2
EIFICA,1.0,0.06,0.06,150,100,53174.329112037994,7.210686683654785,8.929463148117065,0.9818,2
ExactLHS,1.0,0.06,0.06,100,900,53384.85328583865,160.57001090049744,161.7323522567749,0.6496,2
EIFICA,1.0,0.06,0.06,150,200,61238.03430027668,6.850010871887207,8.571540832519531,0.998,2
ExactLHS,1.0,0.06,0.06,150,200,61467.494674942944,325.63172149658203,326.8155200481415,0.6814,2
ExactLHS,1.0,0.06,0.06,150,100,53343.09097750837,384.4378523826599,385.6629331111908,0.746,2
EIFICA,1.0,0.06,0.06,150,300,57178.603460978615,7.2243428230285645,9.01228666305542,0.9734,13
EIFICA,1.0,0.06,0.06,150,400,58125.356736782654,6.677514553070068,7.892688274383545,0.998,2
ExactLHS,1.0,0.06,0.06,150,400,58125.356735365305,112.96013879776001,114.30666184425354,0.6876,2
EIFICA,1.0,0.06,0.06,150,500,58027.17298857837,6.875638961791992,8.211019515991211,0.984,13
ExactLHS,1.0,0.06,0.06,150,300,57497.66200273389,299.9777309894562,301.6382865905762,0.7356,2
EIFICA,1.0,0.06,0.06,150,600,53102.20851629549,6.635691165924072,7.752370357513428,0.9568,13
ExactLHS,1.0,0.06,0.06,150,0,66315.79697396359,922.5927674770355,923.7759716510773,0.6378,2
EIFICA,1.0,0.06,0.06,150,700,64834.64971306213,6.765552043914795,8.502087593078613,0.999,2
ExactLHS,1.0,0.06,0.06,150,700,64913.38272928077,317.4228639602661,318.60690569877625,0.6876,2
EIFICA,1.0,0.06,0.06,150,800,55337.12624493463,6.960518836975098,8.707406044006348,0.9844,13
ExactLHS,1.0,0.06,0.06,150,500,58141.22239065071,764.0969617366791,765.283365726471,0.6846,2
EIFICA,1.0,0.06,0.06,150,900,53274.744477055065,6.795490980148315,8.486273527145386,0.9854,2
ExactLHS,1.0,0.06,0.06,150,900,53749.13372538572,269.19746589660645,270.3527672290802,0.7406,2
EIFICA,1.0,0.06,0.06,200,0,66002.52412757724,7.831260919570923,9.679884195327759,1.0,2
ExactLHS,1.0,0.06,0.06,150,800,55576.01319631056,475.6637752056122,476.8507881164551,0.729,2
EIFICA,1.0,0.06,0.06,200,100,53188.46855718119,8.155571937561035,9.933298587799072,0.993,13
ExactLHS,1.0,0.06,0.06,150,600,53207.96318948631,965.2508680820465,966.4856264591217,0.7246,2
EIFICA,1.0,0.06,0.06,200,200,61238.034303525936,7.5423643589019775,9.203729629516602,0.9978,2
ExactLHS,1.0,0.06,0.06,200,100,53413.70342299688,509.6400740146637,510.80784344673157,0.6874,2
EIFICA,1.0,0.06,0.06,200,300,57178.80609504636,8.497198343276978,10.265403985977173,0.976,13
ExactLHS,1.0,0.06,0.06,200,200,61641.33911347115,671.0616817474365,672.2175838947296,0.7408,2
EIFICA,1.0,0.06,0.06,200,400,58125.35673561383,7.501721620559692,9.189705610275269,0.998,2
ExactLHS,1.0,0.06,0.06,200,0,66064.06686424569,1023.823409318924,1025.0272727012634,0.7256,2
